Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
69457,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹13,06,000",Albion
69456,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹43,48,000",Albion
69454,Canara Bank,"Cooch Behar, West Bengal",14/09/2025,"₹9,09,000",Albion
69453,Canara Bank,"Murshidabad, West Bengal",14/09/2025,"₹47,60,000",Albion
69451,Canara Bank,"Birbhum, West Bengal",14/09/2025,"₹15,30,000",Albion
66051,Canara Bank,"Rajarhat, Kolkata, West Bengal",04/09/2025,"₹17,00,000",Albion
66050,Canara Bank,"Barasat, Kolkata, West Bengal",04/09/2025,"₹8,00,000",Albion
68236,Au small finance bank,"Salera, Bhilwara, Rajasthan",27/08/2025,"₹4,00,000",Albion
68818,Au small finance bank,"Bhilwara, Rajasthan",27/08/2025,"₹4,00,000",Albion
69231,UCO Bank,"Madurai, Tamil Nadu",25/08/2025,"₹12,30,000",Albion
69330,Indian Bank,"Belghoria, Kolkata, West Bengal",22/08/2025,"₹30,15,000",Albion
69232,Indian Bank,"Madurai, Tamil Nadu",20/08/2025,"₹70,00,000",Albion
69013,Repco Home Finance,"Coimbatore, Tamil Nadu",20/08/2025,"₹1,55,01,000",Albion
69226,Karur Vysya Bank,"Madurai, Tamil Nadu",19/08/2025,"₹2,54,00,000",Albion
69095,Canara Bank,"Kallakurichi, Tamil Nadu",19/08/2025,"₹60,38,000",Albion
64649,Au small finance bank,"Panchmahal, Gujarat",19/08/2025,"₹4,00,000",Albion
64939,Au small finance bank,"Masuda, Ajmer, Rajasthan",19/08/2025,"₹5,50,000",Albion
38161,Au small finance bank,"Amreli, Gujarat",19/08/2025,"₹3,10,000",Albion
15703,Indian Bank,"Sivagangai, Tamil Nadu",19/08/2025,"₹15,04,000",Albion
68110,Au small finance bank,"Jagirpur, Ludhiana, Punjab",19/08/2025,"₹8,35,000",Albion
68234,Au small finance bank,"Simalwara, Dungapur, Rajasthan",19/08/2025,"₹30,75,000",Albion
68232,Au small finance bank,"Jalap Tehsil Simalwaral, Dungapur, Rajasthan",19/08/2025,"₹13,00,000",Albion
68101,Canara Bank,"Kallakurichi, Tamil Nadu",19/08/2025,"₹60,38,000",Albion
68093,Debts Recovery Tribunal,"Ranchi, Jharkhand",19/08/2025,"₹23,29,200",Albion
68225,Au small finance bank,"Jaliva II, Ajmer, Rajasthan",19/08/2025,"₹6,50,000",Albion
68218,Karur Vysya Bank,"Banjawadi Karwan, Hyderabad, Telangana",19/08/2025,"₹36,00,000",Albion
68145,Debts Recovery Tribunal,"Dhanbad, Jharkhand",19/08/2025,"₹32,01,300",Albion
68123,Au small finance bank,"Ludhiana, Punjab",19/08/2025,"₹35,01,000",Albion
67440,Indian Bank,"Bharuch, Gujarat",19/08/2025,"₹12,57,000",Albion
67468,Indian Bank,"Bharuch, Gujarat",19/08/2025,"₹12,57,000",Albion
67856,Indian Bank,"Kolkata, West Bengal",19/08/2025,"₹16,74,000",Albion
67844,Indian Bank,"Kolkata, West Bengal",19/08/2025,"₹14,00,000",Albion
69324,Canara Bank,"Kanchipuram, Tamil Nadu",18/08/2025,"₹64,00,000",Albion
69290,Canara Bank,"Tiruvallur, Tamil Nadu",18/08/2025,"₹86,00,000",Albion
69269,Canara Bank,"Krishnagiri, Tamil Nadu",18/08/2025,"₹1,30,00,000",Albion
69268,Canara Bank,"Coimbatore, Tamil Nadu",18/08/2025,"₹26,26,000",Albion
69265,Phoenix ARC,"Shivamogga, Bangalore Urba, Karnataka",18/08/2025,"₹9,90,000",Albion
69264,Phoenix ARC,"Gulbarga, Karnataka",18/08/2025,"₹11,00,000",Albion
69263,Phoenix ARC,"Hubli, Bangalore Urba, Karnataka",18/08/2025,"₹16,50,000",Albion
69262,Phoenix ARC,"Siruguppa, Bangalore Urba, Karnataka",18/08/2025,"₹5,00,000",Albion
69260,Phoenix ARC,"Haveri, Karnataka",18/08/2025,"₹6,00,000",Albion
69038,Canara Bank,"Coimbatore, Tamil Nadu",18/08/2025,"₹37,10,000",Albion
69022,Cholamandalam Investment and Finance Company,"HSR Layout, Bangalore Urba, Karnataka",17/08/2025,"₹5,74,00,000",Albion
69472,Canara Bank,"Biplabi Rash Behari Road, Kolkata, West Bengal",17/08/2025,"₹26,56,000",Albion
68274,UCO Bank,"Alwar, Rajasthan",17/08/2025,"₹15,44,000",Albion
69355,Cholamandalam Investment and Finance Company,"Krishnagiri, Tamil Nadu",17/08/2025,"₹1,06,00,000",Albion
65162,Bank Of Baroda,"Ahmedabad, Gujarat",17/08/2025,"₹40,30,850",Albion
7552,City Union Bank,"Pudukottai, Tamil Nadu",16/08/2025,"₹95,00,000",Albion
1949,Union Bank Of India,"Coimbatore, Tamil Nadu",14/08/2025,"₹43,00,000",Albion
68604,Punjab National Bank,"Pathankot, Punjab",14/08/2025,"₹98,00,000",Albion
68601,Punjab National Bank,"Jandiala Guru, Amritsar, Punjab",14/08/2025,"₹3,01,50,000",Albion
68565,ICICI Bank,"Phullanwal, Ludhiana, Punjab",13/08/2025,"₹24,50,000",Albion
68533,ICICI Bank,"North 24 Parganas, West Bengal",13/08/2025,"₹40,50,000",Albion
69397,GIC Housing Finance,"Tiruvallur, Tamil Nadu",13/08/2025,"₹24,22,500",Albion
68950,City Union Bank,"Jarakabande Kaval, Bangalore Urba, Karnataka",13/08/2025,"₹1,82,00,000",Albion
69261,Karnataka Bank,"Haveri, Karnataka",13/08/2025,"₹10,56,600",Albion
69257,Canara Bank,"Mangalore, Karnataka",13/08/2025,"₹35,00,000",Albion
